世界盃 (world),#genre#
愛爾達體育MAX1台,rtmp://104.253.175.55/live/livestream
綜合其他 (4gtv),#genre#
民視第一台,http://49.213.188.67:50007/4gtv-live403/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
民視第一台,http://49.213.188.67:50007/4gtv-4gtv003/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
民視台灣台,http://49.213.188.67:50007/4gtv-live401/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
民視台灣台,http://49.213.188.67:50007/4gtv-4gtv001/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
民視,http://49.213.188.67:50007/4gtv-live215/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
民視,http://49.213.188.67:50007/4gtv-4gtv002/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
大愛電視,http://49.213.188.67:50007/4gtv-live007/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
中視,http://49.213.188.67:50007/4gtv-4gtv040/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
華視,http://49.213.188.67:50007/4gtv-4gtv041/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
三立綜合台,http://49.213.188.67:50007/4gtv-live207/index.m3u8?token=zbKLB9o6aG4RtRozteaOt3g6IVoVkJXrj8TTxhMf4u02pvZPiANcQ6bYiGhWW2zJ
