央视频(FY),#genre#
cctv1,http://jp.护法.cloudns.ch/ysp.php?id=0
cctv2,http://jp.护法.cloudns.ch/ysp.php?id=1
cctv3,http://jp.护法.cloudns.ch/ysp.php?id=2
cctv4,http://jp.护法.cloudns.ch/ysp.php?id=3
cctv5,http://jp.护法.cloudns.ch/ysp.php?id=4
cctv5p,http://jp.护法.cloudns.ch/ysp.php?id=5
cctv6,http://jp.护法.cloudns.ch/ysp.php?id=6
cctv7,http://jp.护法.cloudns.ch/ysp.php?id=7
cctv8,http://jp.护法.cloudns.ch/ysp.php?id=8
cctv9,http://jp.护法.cloudns.ch/ysp.php?id=9
cctv10,http://jp.护法.cloudns.ch/ysp.php?id=10
cctv11,http://jp.护法.cloudns.ch/ysp.php?id=11
cctv12,http://jp.护法.cloudns.ch/ysp.php?id=12
cctv13,http://jp.护法.cloudns.ch/ysp.php?id=13
cctv14,http://jp.护法.cloudns.ch/ysp.php?id=14
cctv15,http://jp.护法.cloudns.ch/ysp.php?id=15
cctv16,http://jp.护法.cloudns.ch/ysp.php?id=16
cctv17,http://jp.护法.cloudns.ch/ysp.php?id=17
cctv4k,http://jp.护法.cloudns.ch/ysp.php?id=18
cctv8k,http://jp.护法.cloudns.ch/ysp.php?id=19
第一剧场,http://jp.护法.cloudns.ch/ysp.php?id=20
风云剧场,http://jp.护法.cloudns.ch/ysp.php?id=21
怀旧剧场,http://jp.护法.cloudns.ch/ysp.php?id=22
cgtnar,http://jp.护法.cloudns.ch/ysp.php?id=23
cgtndoc,http://jp.护法.cloudns.ch/ysp.php?id=24
cgtn,http://jp.护法.cloudns.ch/ysp.php?id=25
cgtnfr,http://jp.护法.cloudns.ch/ysp.php?id=26
cgtnru,http://jp.护法.cloudns.ch/ysp.php?id=27
cgtnsp,http://jp.护法.cloudns.ch/ysp.php?id=28
中国教育电视台,http://jp.护法.cloudns.ch/ysp.php?id=29
北京卫视,http://jp.护法.cloudns.ch/ysp.php?id=30
